label	readable
Case=Nom|Numb=Sing	Nominatif Singulier - NOM,PROper
Case=Voc|Numb=Sing	Vocatif Singulier - NOM,PROper
Case=Acc|Numb=Sing	Accusatif Singulier - NOM,PROper,PROref
Case=Gen|Numb=Sing	Génitif Singulier - NOM,PROper,PROref
Case=Dat|Numb=Sing	Datif Singulier - NOM,PROper,PROref
Case=Abl|Numb=Sing	Ablatif Singulier - NOM,PROper,PROref
Case=Loc|Numb=Sing	Locatif Singulier - NOM
Case=Ind	Indéclinable - NOM,ADJcar,PROdem,PROrel,PROint,PROind
Case=Nom|Numb=Plur	Nominatif Pluriel - NOM,PROper
Case=Voc|Numb=Plur	Vocatif Pluriel - NOM,PROper
Case=Acc|Numb=Plur	Accusatif Pluriel - NOM,PROper,PROref
Case=Gen|Numb=Plur	Génitif Pluriel - NOM,PROper,PROref
Case=Dat|Numb=Plur	Datif Pluriel - NOM,PROper,PROref
Case=Abl|Numb=Plur	Ablatif Pluriel - NOM,PROper,PROref
Case=Loc|Numb=Plur	Locatif Pluriel - NOM
Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Commun Participe Présent Actif - VER
Case=Voc|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Commun Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Commun Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Commun Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Commun Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Commun Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Commun Participe Présent Actif - VER
Case=Ind|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Indéclinable Singulier Commun Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Commun Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Commun Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Commun Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Commun Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Commun Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Commun Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Commun Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Féminin Participe Présent Actif - VER
Case=Voc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Vocatif Singulier Féminin Participe Présent Actif - VER
Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Accusatif Singulier Féminin Participe Présent Actif - VER
Case=Gen|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Génitif Singulier Féminin Participe Présent Actif - VER
Case=Dat|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Datif Singulier Féminin Participe Présent Actif - VER
Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Ablatif Singulier Féminin Participe Présent Actif - VER
Case=Loc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Locatif Singulier Féminin Participe Présent Actif - VER
Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Nominatif Pluriel Féminin Participe Présent Actif - VER
Case=Voc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Vocatif Pluriel Féminin Participe Présent Actif - VER
Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Accusatif Pluriel Féminin Participe Présent Actif - VER
Case=Gen|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Génitif Pluriel Féminin Participe Présent Actif - VER
Case=Dat|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Datif Pluriel Féminin Participe Présent Actif - VER
Case=Abl|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Ablatif Pluriel Féminin Participe Présent Actif - VER
Case=Loc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Pres|Voice=Act	Locatif Pluriel Féminin Participe Présent Actif - VER
Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act	Nominatif Singulier Masculin Féminin Participe Présent Actif - VER
